id_client;metier;employeur;revenus;nombre_enfants;type_vehicule;age_vehicule;points_perdus;formule;adresse;date_demande
871024631;animateur du patrimoine;Poirier;125301;1;Sports Car;7.0;0;dev_integral;277 Rue du Bourg 40180 Oeyreluy;2022-02-25
7945239;préparateur en pharmacie;Lemaître Charles et Fils;50815;1;Minivan;1.0;2;dev_express;5 Chemin des Echardons 3000 Coulandon;2022-05-24
713692930;électricien installateur installatrice;Fouquet;21204;2;Pickup;4.0;0;dev_express;2 Rue Barboise 4800 Gréoux-les-Bains;2022-01-24
588888550;chargé de veille législative et réglementaire;Perrier;0;0;z_SUV;5.0;3;dev_integral;66 Parc d'Activite l'Argile 6370 Mouans-Sartoux;2022-04-20
69165559;conseiller pénitentiaire d'insertion et de probation;Carlier;;0;Panel Truck;12.0;2;dev_vip;19 Rue Charles Teyssier 19100 Brive-la-Gaillarde;2022-03-23
573751437;staffeur-ornemaniste;Coste;79606;1;z_SUV;15.0;2;dev_premium;7 Rue de l'Égalité 70250 Ronchamp;2022-03-23
294816298;technicien électrotechnicien électrotechnicienne;Laurent;130540;2;Minivan;9.0;0;dev_express;87 Rue des Chauvelles 58000 Nevers;2022-03-13
686791659;gestionnaire de patrimoine;Martinez Bourdon S.A.;51278;0;z_SUV;10.0;1;dev_premium;10 Rue des Grands Champs 73460 Frontenex;2022-03-09
866093378;officier de gendarmerie;Techer;115044;0;Minivan;14.0;0;dev_premium;30 Quai du Canal 30800 Saint-Gilles;2022-01-29
401200262;peintre en bâtiment;Schmitt;;0;Panel Truck;10.0;1;dev_integral;29 Rue de Rigaudou 47510 Foulayronnes;2022-03-26
926073051;intégrateur web;Riou;24060;2;Minivan;10.0;0;dev_express;1041 D 216 La Seyne A Six Fours 83500 La Seyne-sur-Mer;2022-05-26
45830738;coordonnateur d'études cliniques;Devaux;20822;4;z_SUV;1.0;0;dev_premium;;2022-01-27
429992959;chargé de clientèle banque;Leclercq;74426;0;z_SUV;18.0;0;dev_express;6 Rue du Rempart 23800 Dun-le-Palestel;2022-05-08
46606719;audioprothésiste;Mathieu;0;0;Van;6.0;5;dev_integral;245 Chemin des Piboules 13080 Aix-en-Provence;2022-05-02
389315422;ingénieur opticien opticienne;Blanchard Royer SA;38042;1;Minivan;1.0;0;dev_integral;8 Rue de Champlitte 68790 Morschwiller-le-Bas;2022-04-15
184578161;accompagnateur de tourisme équestre;Merle;45787;0;Minivan;13.0;0;dev_express;4 Rue Peyredieu du Charlat 81100 Castres;2022-05-11
765577228;conseiller en fusions-acquisitions;Hamon Lebreton S.A.;108152;0;z_SUV;15.0;0;dev_integral;74 Rue Ordener 75018 Paris;2022-04-12
